date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
12:58:28	117557/117557	---M--	200	added ('OK')	application/x-javascript	etag:%221cb35-56f235a3973a1%22	http://ganeshbhel.com/wp-content/plugins/LayerSlider/static/layerslider/js/greensock.js?ver=1.19.0	C:/My%20Web%20Sites/GaneshBhel/ganeshbhel.com/wp-content/plugins/LayerSlider/static/layerslider/js/greensockb3a6.js	(from http://ganeshbhel.com/)
12:58:29	96874/96874	---M--	200	added ('OK')	application/x-javascript	etag:%2217a6a-591c9e6b09df4%22	http://ganeshbhel.com/wp-includes/js/jquery/jquery.js?ver=1.12.4	C:/My%20Web%20Sites/GaneshBhel/ganeshbhel.com/wp-includes/js/jquery/jqueryb8ff.js	(from http://ganeshbhel.com/)
12:58:30	10056/10056	---M--	200	added ('OK')	application/x-javascript	etag:%222748-56f2359cece23%22	http://ganeshbhel.com/wp-includes/js/jquery/jquery-migrate.min.js?ver=1.4.1	C:/My%20Web%20Sites/GaneshBhel/ganeshbhel.com/wp-includes/js/jquery/jquery-migrate.min330a.js	(from http://ganeshbhel.com/)
12:58:32	116492/116492	---M--	200	added ('OK')	application/x-javascript	etag:%221c70c-56f235a3973a1%22	http://ganeshbhel.com/wp-content/plugins/LayerSlider/static/layerslider/js/layerslider.kreaturamedia.jquery.js?ver=6.7.1	C:/My%20Web%20Sites/GaneshBhel/ganeshbhel.com/wp-content/plugins/LayerSlider/static/layerslider/js/layerslider.kreaturamedia.jquery9704.js	(from http://ganeshbhel.com/)
12:58:32	23831/23831	---M--	200	added ('OK')	application/x-javascript	etag:%225d17-56f235a3973a1%22	http://ganeshbhel.com/wp-content/plugins/LayerSlider/static/layerslider/js/layerslider.transitions.js?ver=6.7.1	C:/My%20Web%20Sites/GaneshBhel/ganeshbhel.com/wp-content/plugins/LayerSlider/static/layerslider/js/layerslider.transitions9704.js	(from http://ganeshbhel.com/)
12:58:33	4000/4000	---M--	200	added ('OK')	application/x-javascript	etag:%22fa0-56f2359ceddc3%22	http://ganeshbhel.com/wp-includes/js/jquery/ui/core.min.js?ver=1.11.4	C:/My%20Web%20Sites/GaneshBhel/ganeshbhel.com/wp-includes/js/jquery/ui/core.mine899.js	(from http://ganeshbhel.com/)
12:58:33	5033/5033	---M--	200	added ('OK')	application/x-javascript	etag:%2213a9-56f2359fc7209%22	http://ganeshbhel.com/wp-content/plugins/mega-addons-for-visual-composer/js/script.js?ver=4.9.11	C:/My%20Web%20Sites/GaneshBhel/ganeshbhel.com/wp-content/plugins/mega-addons-for-visual-composer/js/script433d.js	(from http://ganeshbhel.com/)
12:58:36	110563/110563	---M--	200	added ('OK')	application/x-javascript	etag:%221afe3-56f235a36df74%22	http://ganeshbhel.com/wp-content/plugins/revslider/public/assets/js/jquery.themepunch.tools.min.js?ver=5.4.7.1	C:/My%20Web%20Sites/GaneshBhel/ganeshbhel.com/wp-content/plugins/revslider/public/assets/js/jquery.themepunch.tools.min8c43.js	(from http://ganeshbhel.com/)
12:58:37	64904/64904	---M--	200	added ('OK')	application/x-javascript	etag:%22fd88-56f235a36ef14%22	http://ganeshbhel.com/wp-content/plugins/revslider/public/assets/js/jquery.themepunch.revolution.min.js?ver=5.4.7.1	C:/My%20Web%20Sites/GaneshBhel/ganeshbhel.com/wp-content/plugins/revslider/public/assets/js/jquery.themepunch.revolution.min8c43.js	(from http://ganeshbhel.com/)
12:58:38	2650/2650	---M--	200	added ('OK')	application/x-javascript	etag:%22a5a-5736566080200%22	http://ganeshbhel.com/wp-content/plugins/woocommerce/assets/js/frontend/add-to-cart.min.js?ver=3.4.4	C:/My%20Web%20Sites/GaneshBhel/ganeshbhel.com/wp-content/plugins/woocommerce/assets/js/frontend/add-to-cart.minedb1.js	(from http://ganeshbhel.com/)
12:58:38	895/895	---M--	200	added ('OK')	application/x-javascript	etag:%2237f-56f235a13b738%22	http://ganeshbhel.com/wp-content/plugins/js_composer/assets/js/vendors/woocommerce-add-to-cart.js?ver=5.4.7	C:/My%20Web%20Sites/GaneshBhel/ganeshbhel.com/wp-content/plugins/js_composer/assets/js/vendors/woocommerce-add-to-cart8b06.js	(from http://ganeshbhel.com/)
12:58:40	818/818	---MC-	200	added ('OK')	text/xml	date:Sat,%2021%20Sep%202019%2007:28:37%20GMT	http://ganeshbhel.com/xmlrpc.php?rsd	C:/My%20Web%20Sites/GaneshBhel/ganeshbhel.com/xmlrpc0db0.php	(from http://ganeshbhel.com/)
12:58:41	1045/1045	---M--	200	added ('OK')	application/xml	etag:%22415-56f2359cd8219%22	http://ganeshbhel.com/wp-includes/wlwmanifest.xml	C:/My%20Web%20Sites/GaneshBhel/ganeshbhel.com/wp-includes/wlwmanifest.xml	(from http://ganeshbhel.com/)
12:58:42	2150/2150	---MC-	200	added ('OK')	application/json	date:Sat,%2021%20Sep%202019%2007:28:40%20GMT	http://ganeshbhel.com/wp-json/oembed/1.0/embed?url=http%3A%2F%2Fganeshbhel.com%2F	C:/My%20Web%20Sites/GaneshBhel/ganeshbhel.com/wp-json/oembed/1.0/embed3f14.json	(from http://ganeshbhel.com/)
12:58:44	2406/2406	---MC-	200	added ('OK')	text/xml	date:Sat,%2021%20Sep%202019%2007:28:41%20GMT	http://ganeshbhel.com/wp-json/oembed/1.0/embed?url=http%3A%2F%2Fganeshbhel.com%2F&format=xml	C:/My%20Web%20Sites/GaneshBhel/ganeshbhel.com/wp-json/oembed/1.0/embed3484	(from http://ganeshbhel.com/)
12:58:48	17395/17395	---M--	200	added ('OK')	image/png	etag:%2243f3-56fb10208a83b%22	http://ganeshbhel.com/wp-content/themes/bridge/img/logo.png	C:/My%20Web%20Sites/GaneshBhel/ganeshbhel.com/wp-content/themes/bridge/img/logo.png	(from http://ganeshbhel.com/)
12:58:48	17395/17395	---M--	200	added ('OK')	image/png	etag:%2243f3-56f2359fa6e65%22	http://ganeshbhel.com/wp-content/uploads/2018/06/logo-1.png	C:/My%20Web%20Sites/GaneshBhel/ganeshbhel.com/wp-content/uploads/2018/06/logo-1.png	(from http://ganeshbhel.com/)
12:58:51	74028/74028	---M-Z	200	added ('OK')	text/html	date:Sat,%2021%20Sep%202019%2007:28:47%20GMT	http://ganeshbhel.com/about/	C:/My%20Web%20Sites/GaneshBhel/ganeshbhel.com/about/index.html	(from http://ganeshbhel.com/)
12:58:53	44470/44470	---MC-	200	added ('OK')	text/javascript	date:Mon,%2019%20Aug%202019%2017:22:41%20GMT	https://www.google-analytics.com/analytics.js	C:/My%20Web%20Sites/GaneshBhel/www.google-analytics.com/analytics.js	(from http://ganeshbhel.com/)
12:58:55	91350/91350	---M-Z	200	added ('OK')	text/html	date:Sat,%2021%20Sep%202019%2007:28:50%20GMT	http://ganeshbhel.com/product/	C:/My%20Web%20Sites/GaneshBhel/ganeshbhel.com/product/index.html	(from http://ganeshbhel.com/)
12:58:58	86210/86210	---M-Z	200	added ('OK')	text/html	date:Sat,%2021%20Sep%202019%2007:28:54%20GMT	http://ganeshbhel.com/catering-service-provider-in-pune/	C:/My%20Web%20Sites/GaneshBhel/ganeshbhel.com/catering-service-provider-in-pune/index.html	(from http://ganeshbhel.com/)
12:59:04	109290/109290	---M--	200	added ('OK')	image/jpeg	etag:%221aaea-56fb18f5371b7%22	http://ganeshbhel.com/wp-content/uploads/2018/06/4-4.jpg	C:/My%20Web%20Sites/GaneshBhel/ganeshbhel.com/wp-content/uploads/2018/06/4-4.jpg	(from http://ganeshbhel.com/)
12:59:07	118191/118191	---M-Z	200	added ('OK')	text/html	date:Sat,%2021%20Sep%202019%2007:29:03%20GMT	http://ganeshbhel.com/stores/	C:/My%20Web%20Sites/GaneshBhel/ganeshbhel.com/stores/index.html	(from http://ganeshbhel.com/)
12:59:18	155835/155835	---M--	200	added ('OK')	image/jpeg	etag:%22260bb-56fb18e379413%22	http://ganeshbhel.com/wp-content/uploads/2018/06/1-5.jpg	C:/My%20Web%20Sites/GaneshBhel/ganeshbhel.com/wp-content/uploads/2018/06/1-5.jpg	(from http://ganeshbhel.com/)
12:59:20	140881/140881	---M--	200	added ('OK')	image/jpeg	etag:%2222651-571e2edc748de%22	http://ganeshbhel.com/wp-content/uploads/2018/07/BANNER-3.jpg	C:/My%20Web%20Sites/GaneshBhel/ganeshbhel.com/wp-content/uploads/2018/07/BANNER-3.jpg	(from http://ganeshbhel.com/)
12:59:20	332260/332260	---MC-	200	added ('OK')	application/json	date:Sat,%2021%20Sep%202019%2007:28:38%20GMT	http://ganeshbhel.com/wp-json/	C:/My%20Web%20Sites/GaneshBhel/ganeshbhel.com/wp-json/index.html	(from http://ganeshbhel.com/)
12:59:22	72903/72903	---M-Z	200	added ('OK')	text/html	date:Sat,%2021%20Sep%202019%2007:29:17%20GMT	http://ganeshbhel.com/blog/	C:/My%20Web%20Sites/GaneshBhel/ganeshbhel.com/blog/index.html	(from http://ganeshbhel.com/)
12:59:23	82965/82965	---M-Z	200	added ('OK')	text/html	date:Sat,%2021%20Sep%202019%2007:29:19%20GMT	http://ganeshbhel.com/contact/	C:/My%20Web%20Sites/GaneshBhel/ganeshbhel.com/contact/index.html	(from http://ganeshbhel.com/)
